rank,Athlete,NationID,G,S,B
214,Maurizio Margaglio,ITA,0,0,1
214,Petr Barna,TCH,0,0,1
214,Jeremy Abbott,USA,0,0,1
214,Debra Thomas,USA,0,0,1
214,Oksana Dominina,RUS,0,0,1
214,Jill Watson,USA,0,0,1
214,Simon Shnapir,USA,0,0,1
214,Larissa Selezneva,URS,0,0,1
214,Jeffrey Buttle,CAN,0,0,1
214,Tracy Wilson,CAN,0,0,1
214,Ruslan Goncharov,UKR,0,0,1
214,Jason Brown,USA,0,0,1
214,Ashley Wagner,USA,0,0,1
214,Donald Jackson,CAN,0,0,1
214,Timothy Goebel,USA,0,0,1
214,James Millns,USA,0,0,1
214,Margot Glockshuber,FRG,0,0,1
214,Vivi-Anne Hulten,SWE,0,0,1
214,Debbie Wilkes,CAN,0,0,1
214,Ludwig Wrede,AUT,0,0,1
214,Ronald Ludington,USA,0,0,1
214,Scott Allen,USA,0,0,1
214,Ingrid Wendl,AUT,0,0,1
214,Hana Maskova,TCH,0,0,1
214,Dorothy Greehough-Smith,GBR,0,0,1
214,Christine Errath,GDR,0,0,1
214,Geoffrey Hall-Say,GBR,0,0,1
214,James Grogan,USA,0,0,1
214,Mandy Wotzel,GER,0,0,1
214,Manuela Mager,GDR,0,0,1
214,Suzanne Morrow,USA,0,0,1
214,Barbara Fusar Poli,ITA,0,0,1
214,Daisuke Takahashi,JPN,0,0,1
214,Basil Williams,GBR,0,0,1
214,Edgar Syers,GBR,0,0,1
214,Carolina Kostner,ITA,0,0,1
214,Denis Ten,KAZ,0,0,1
214,Kira Ivanova,URS,0,0,1
214,Maxim Shabalin,RUS,0,0,1
214,Marissa Castelli,USA,0,0,1
214,Peter Oppegard,USA,0,0,1
214,Oleg Makarov,URS,0,0,1
214,Robert McCall,CAN,0,0,1
214,Jozef Sabovchik,TCH,0,0,1
214,Yelena Grushina,UKR,0,0,1
214,Gracie Gold,USA,0,0,1
214,Charles Tickner,USA,0,0,1
214,Jacqueline du Bief,FRA,0,0,1
214,Edi Rada,AUT,0,0,1
214,Wolfgang Danne,FRG,0,0,1
214,Felix Kaspar,AUT,0,0,1
214,Guy Revell,CAN,0,0,1
214,Maribel Vinson,USA,0,0,1
214,Montgomery Wilson,CAN,0,0,1
214,Melitta Brunner,AUT,0,0,1,
214,Robert van Zeebroeck,BEL,0,0,1
214,Georges Gautschi,SUI,0,0,1
214,Nancy Ludington,USA,0,0,1
214,Ethel Muckelt,GBR,0,0,1
214,Petra Burka,CAN,0,0,1
214,Barbara Roles,USA,0,0,1
214,Theresa Blanchard,USA,0,0,1
214,Martin Stixrud,NOR,0,0,1
214,Toller Cranston,CAN,0,0,1
214,Per Thoren,SWE,0,0,1
214,Janet Lynn,USA,0,0,1
214,Colleen O'Conner,USA,0,0,1
